s,Volts
-2.2772e-005, 0.356000006
-2.2768e-005, 0.356000006
-2.2764e-005,  0.35800001
 -2.276e-005,  0.35800001
-2.2756e-005, 0.356000006
-2.2752e-005, 0.360000014
-2.2748e-005, 0.360000014
-2.2744e-005, 0.360000014
 -2.274e-005, 0.361999989
-2.2736e-005, 0.360000014
-2.2732e-005,  0.35800001
-2.2728e-005, 0.360000014
-2.2724e-005, 0.363999993
 -2.272e-005, 0.361999989
-2.2716e-005, 0.361999989
-2.2712e-005, 0.360000014
-2.2708e-005, 0.361999989
-2.2704e-005, 0.361999989
  -2.27e-005, 0.363999993
-2.2696e-005, 0.361999989
-2.2692e-005, 0.363999993
-2.2688e-005, 0.361999989
-2.2684e-005, 0.363999993
 -2.268e-005, 0.360000014
-2.2676e-005, 0.363999993
-2.2672e-005, 0.361999989
-2.2668e-005, 0.361999989
-2.2664e-005, 0.365999997
 -2.266e-005, 0.363999993
-2.2656e-005, 0.365999997
-2.2652e-005, 0.363999993
-2.2648e-005, 0.361999989
-2.2644e-005, 0.368000001
 -2.264e-005, 0.368000001
-2.2636e-005, 0.365999997
-2.2632e-005, 0.363999993
-2.2628e-005, 0.365999997
-2.2624e-005, 0.363999993
 -2.262e-005, 0.363999993
-2.2616e-005, 0.365999997
-2.2612e-005, 0.363999993
-2.2608e-005, 0.365999997
-2.2604e-005, 0.365999997
  -2.26e-005, 0.361999989
-2.2596e-005, 0.365999997
-2.2592e-005, 0.365999997
-2.2588e-005, 0.365999997
-2.2584e-005, 0.365999997
 -2.258e-005, 0.365999997
-2.2576e-005, 0.365999997
-2.2572e-005, 0.361999989
-2.2568e-005, 0.365999997
-2.2564e-005, 0.363999993
 -2.256e-005, 0.363999993
-2.2556e-005, 0.363999993
-2.2552e-005, 0.361999989
-2.2548e-005, 0.363999993
-2.2544e-005, 0.361999989
 -2.254e-005, 0.363999993
-2.2536e-005, 0.363999993
-2.2532e-005, 0.363999993
-2.2528e-005, 0.361999989
-2.2524e-005, 0.361999989
 -2.252e-005, 0.361999989
-2.2516e-005, 0.360000014
-2.2512e-005, 0.360000014
-2.2508e-005, 0.361999989
-2.2504e-005, 0.360000014
  -2.25e-005,  0.35800001
-2.2496e-005,  0.35800001
-2.2492e-005, 0.360000014
-2.2488e-005, 0.360000014
-2.2484e-005, 0.360000014
 -2.248e-005, 0.360000014
-2.2476e-005,  0.35800001
-2.2472e-005, 0.360000014
-2.2468e-005,  0.35800001
-2.2464e-005, 0.356000006
 -2.246e-005,  0.35800001
-2.2456e-005, 0.354000002
-2.2452e-005, 0.354000002
-2.2448e-005, 0.351999998
-2.2444e-005, 0.356000006
 -2.244e-005, 0.351999998
-2.2436e-005, 0.356000006
-2.2432e-005, 0.354000002
-2.2428e-005, 0.351999998
-2.2424e-005, 0.356000006
 -2.242e-005, 0.354000002
-2.2416e-005, 0.354000002
-2.2412e-005,  0.35800001
-2.2408e-005, 0.356000006
-2.2404e-005, 0.356000006
  -2.24e-005,  0.35800001
-2.2396e-005, 0.356000006
-2.2392e-005, 0.354000002
-2.2388e-005, 0.356000006
-2.2384e-005,  0.35800001
 -2.238e-005, 0.356000006
-2.2376e-005, 0.360000014
-2.2372e-005, 0.360000014
-2.2368e-005,  0.35800001
-2.2364e-005, 0.361999989
 -2.236e-005, 0.360000014
-2.2356e-005, 0.361999989
-2.2352e-005, 0.360000014
-2.2348e-005,  0.35800001
-2.2344e-005, 0.360000014
 -2.234e-005, 0.361999989
-2.2336e-005, 0.361999989
-2.2332e-005, 0.360000014
-2.2328e-005, 0.360000014
-2.2324e-005,  0.35800001
 -2.232e-005, 0.356000006
-2.2316e-005, 0.361999989
-2.2312e-005, 0.356000006
-2.2308e-005, 0.360000014
-2.2304e-005,  0.35800001
  -2.23e-005, 0.360000014
-2.2296e-005,  0.35800001
-2.2292e-005, 0.360000014
-2.2288e-005, 0.360000014
-2.2284e-005, 0.360000014
 -2.228e-005,  0.35800001
-2.2276e-005,  0.35800001
-2.2272e-005, 0.354000002
-2.2268e-005, 0.354000002
-2.2264e-005,  0.35800001
 -2.226e-005, 0.356000006
-2.2256e-005, 0.354000002
-2.2252e-005, 0.354000002
-2.2248e-005, 0.356000006
-2.2244e-005, 0.356000006
 -2.224e-005, 0.354000002
-2.2236e-005, 0.356000006
-2.2232e-005, 0.354000002
-2.2228e-005,  0.35800001
-2.2224e-005, 0.354000002
 -2.222e-005, 0.356000006
-2.2216e-005,  0.35800001
