s,Volts
-1.7748e-006,-0.0199999996
-1.7744e-006,-0.0399999991
 -1.774e-006,-0.0199999996
-1.7736e-006,-0.0199999996
-1.7732e-006,-0.0399999991
-1.7728e-006,           0
-1.7724e-006,0.0199999996
 -1.772e-006,-0.0199999996
-1.7716e-006,-0.0199999996
-1.7712e-006,-0.0199999996
-1.7708e-006,-0.0199999996
-1.7704e-006,           0
  -1.77e-006,           0
-1.7696e-006,-0.0399999991
-1.7692e-006,-0.0199999996
-1.7688e-006,-0.0399999991
-1.7684e-006,-0.0199999996
 -1.768e-006,-0.0399999991
-1.7676e-006,-0.0199999996
-1.7672e-006,-0.0199999996
-1.7668e-006,-0.0399999991
-1.7664e-006,           0
 -1.766e-006,-0.0599999987
-1.7656e-006,0.0199999996
-1.7652e-006,-0.0399999991
-1.7648e-006,-0.0199999996
-1.7644e-006,-0.0199999996
 -1.764e-006,-0.0199999996
-1.7636e-006,-0.0399999991
-1.7632e-006,-0.0199999996
-1.7628e-006,-0.0399999991
-1.7624e-006,           0
 -1.762e-006,-0.0399999991
-1.7616e-006,           0
-1.7612e-006,-0.0199999996
-1.7608e-006,-0.0199999996
-1.7604e-006,-0.0199999996
  -1.76e-006,-0.0199999996
-1.7596e-006,-0.0199999996
-1.7592e-006,           0
-1.7588e-006,-0.0399999991
-1.7584e-006,-0.0399999991
 -1.758e-006,-0.0199999996
-1.7576e-006,-0.0399999991
-1.7572e-006,-0.0199999996
-1.7568e-006,-0.0199999996
-1.7564e-006,-0.0399999991
 -1.756e-006,-0.0399999991
-1.7556e-006,-0.0199999996
-1.7552e-006,-0.0399999991
-1.7548e-006,-0.0599999987
-1.7544e-006,-0.0199999996
 -1.754e-006,-0.0399999991
-1.7536e-006,-0.0399999991
-1.7532e-006,-0.0399999991
-1.7528e-006,-0.0399999991
-1.7524e-006,-0.0399999991
 -1.752e-006,           0
-1.7516e-006,-0.0199999996
-1.7512e-006,           0
-1.7508e-006,           0
-1.7504e-006,-0.0399999991
  -1.75e-006,-0.0199999996
-1.7496e-006,-0.0199999996
-1.7492e-006,           0
-1.7488e-006,-0.0199999996
-1.7484e-006,-0.0399999991
 -1.748e-006,-0.0399999991
-1.7476e-006,0.0199999996
-1.7472e-006,-0.0199999996
-1.7468e-006,-0.0599999987
-1.7464e-006,-0.0199999996
 -1.746e-006,-0.0199999996
-1.7456e-006,-0.0199999996
-1.7452e-006,           0
-1.7448e-006,-0.0399999991
-1.7444e-006,           0
 -1.744e-006,0.0199999996
-1.7436e-006,           0
-1.7432e-006,           0
-1.7428e-006,-0.0199999996
-1.7424e-006,           0
 -1.742e-006,-0.0399999991
-1.7416e-006,-0.0199999996
-1.7412e-006,-0.0199999996
-1.7408e-006,           0
-1.7404e-006,-0.0799999982
  -1.74e-006,-0.0399999991
-1.7396e-006,           0
-1.7392e-006,-0.0199999996
-1.7388e-006,0.0199999996
-1.7384e-006,0.0199999996
 -1.738e-006,           0
-1.7376e-006,-0.0199999996
-1.7372e-006,-0.0199999996
-1.7368e-006,           0
-1.7364e-006,0.0199999996
 -1.736e-006,-0.0199999996
-1.7356e-006,           0
-1.7352e-006,-0.0199999996
-1.7348e-006,           0
-1.7344e-006,-0.0399999991
 -1.734e-006,           0
-1.7336e-006,-0.0199999996
-1.7332e-006,-0.0199999996
-1.7328e-006,0.0199999996
-1.7324e-006,-0.0399999991
 -1.732e-006,-0.0599999987
-1.7316e-006,-0.0199999996
-1.7312e-006,-0.0399999991
-1.7308e-006,-0.0399999991
-1.7304e-006,-0.0199999996
  -1.73e-006,           0
-1.7296e-006,           0
-1.7292e-006,           0
-1.7288e-006,           0
-1.7284e-006,           0
 -1.728e-006,-0.0199999996
-1.7276e-006,-0.0399999991
-1.7272e-006,           0
-1.7268e-006,           0
-1.7264e-006,-0.0199999996
 -1.726e-006,           0
-1.7256e-006,-0.0199999996
-1.7252e-006,-0.0399999991
-1.7248e-006,-0.0399999991
-1.7244e-006,-0.0199999996
 -1.724e-006,-0.0199999996
-1.7236e-006,-0.0199999996
-1.7232e-006,0.0199999996
-1.7228e-006,-0.0199999996
-1.7224e-006,-0.0399999991
 -1.722e-006,-0.0199999996
-1.7216e-006,-0.0199999996
-1.7212e-006,-0.0399999991
-1.7208e-006,-0.0199999996
-1.7204e-006,-0.0399999991
  -1.72e-006,-0.0199999996
-1.7196e-006,-0.0199999996
-1.7192e-006,           0
-1.7188e-006,           0
-1.7184e-006,           0
 -1.718e-006,           0
-1.7176e-006,0.0199999996
-1.7172e-006,-0.0199999996
-1.7168e-006,-0.0199999996
-1.7164e-006,-0.0399999991
 -1.716e-006,-0.0199999996
-1.7156e-006,-0.0199999996
-1.7152e-006,-0.0399999991
-1.7148e-006,           0
-1.7144e-006,-0.0399999991
 -1.714e-006,-0.0399999991
-1.7136e-006,-0.0199999996
-1.7132e-006,-0.0199999996
-1.7128e-006,-0.0199999996
-1.7124e-006,-0.0199999996
 -1.712e-006,           0
-1.7116e-006,-0.0199999996
-1.7112e-006,           0
-1.7108e-006,0.0199999996
-1.7104e-006,-0.0199999996
  -1.71e-006,           0
-1.7096e-006,-0.0199999996
-1.7092e-006,-0.0199999996
-1.7088e-006,           0
-1.7084e-006,-0.0199999996
 -1.708e-006,-0.0199999996
-1.7076e-006,           0
-1.7072e-006,           0
-1.7068e-006,-0.0199999996
-1.7064e-006,0.0199999996
 -1.706e-006,-0.0199999996
-1.7056e-006,-0.0199999996
-1.7052e-006,           0
-1.7048e-006,-0.0199999996
-1.7044e-006,-0.0199999996
 -1.704e-006,           0
-1.7036e-006,-0.0199999996
-1.7032e-006,-0.0399999991
-1.7028e-006,-0.0199999996
-1.7024e-006,-0.0199999996
 -1.702e-006,-0.0599999987
-1.7016e-006,-0.0199999996
-1.7012e-006,-0.0399999991
-1.7008e-006,           0
-1.7004e-006,-0.0399999991
   -1.7e-006,-0.0199999996
-1.6996e-006,           0
-1.6992e-006,-0.0199999996
-1.6988e-006,-0.0399999991
-1.6984e-006,-0.0199999996
 -1.698e-006,           0
-1.6976e-006,-0.0199999996
-1.6972e-006,-0.0399999991
-1.6968e-006,-0.0399999991
-1.6964e-006,-0.0399999991
 -1.696e-006,-0.0399999991
-1.6956e-006,-0.0399999991
-1.6952e-006,-0.0399999991
-1.6948e-006,           0
-1.6944e-006,-0.0199999996
 -1.694e-006,-0.0399999991
-1.6936e-006,-0.0199999996
-1.6932e-006,           0
-1.6928e-006,-0.0199999996
-1.6924e-006,           0
 -1.692e-006,           0
-1.6916e-006,-0.0399999991
-1.6912e-006,-0.0399999991
-1.6908e-006,           0
-1.6904e-006,-0.0399999991
  -1.69e-006,           0
-1.6896e-006,-0.0199999996
-1.6892e-006,           0
-1.6888e-006,-0.0399999991
-1.6884e-006,-0.0199999996
 -1.688e-006,0.0199999996
-1.6876e-006,-0.0199999996
-1.6872e-006,-0.0399999991
-1.6868e-006,           0
-1.6864e-006,-0.0199999996
 -1.686e-006,-0.0399999991
-1.6856e-006,-0.0199999996
-1.6852e-006,           0
-1.6848e-006,           0
-1.6844e-006,           0
 -1.684e-006,-0.0199999996
-1.6836e-006,           0
-1.6832e-006,-0.0199999996
-1.6828e-006,-0.0199999996
-1.6824e-006,           0
 -1.682e-006,-0.0199999996
-1.6816e-006,-0.0199999996
-1.6812e-006,           0
